frames,position.x_diff2,position.y_diff2,position.z_diff2,rotation.x_diff2,rotation.y_diff2,rotation.z_diff2,rotation.w_diff2,Spine Front-Back_diff2,Spine Left-Right_diff2,Spine Twist Left-Right_diff2,Chest Front-Back_diff2,Chest Left-Right_diff2,Chest Twist Left-Right_diff2,Neck Nod Down-Up_diff2,Neck Tilt Left-Right_diff2,Neck Turn Left-Right_diff2,Head Nod Down-Up_diff2,Head Tilt Left-Right_diff2,Head Turn Left-Right_diff2,Left Upper Leg Front-Back_diff2,Left Upper Leg In-Out_diff2,Left Upper Leg Twist In-Out_diff2,Left Lower Leg Stretch_diff2,Left Lower Leg Twist In-Out_diff2,Left Foot Up-Down_diff2,Left Foot Twist In-Out_diff2,Right Upper Leg Front-Back_diff2,Right Upper Leg In-Out_diff2,Right Upper Leg Twist In-Out_diff2,Right Lower Leg Stretch_diff2,Right Lower Leg Twist In-Out_diff2,Right Foot Up-Down_diff2,Right Foot Twist In-Out_diff2,Left Shoulder Down-Up_diff2,Left Shoulder Front-Back_diff2,Left Arm Down-Up_diff2,Left Arm Front-Back_diff2,Left Arm Twist In-Out_diff2,Left Forearm Stretch_diff2,Left Forearm Twist In-Out_diff2,Left Hand Down-Up_diff2,Left Hand In-Out_diff2,Right Shoulder Down-Up_diff2,Right Shoulder Front-Back_diff2,Right Arm Down-Up_diff2,Right Arm Front-Back_diff2,Right Arm Twist In-Out_diff2,Right Forearm Stretch_diff2,Right Forearm Twist In-Out_diff2,Right Hand Down-Up_diff2,Right Hand In-Out_diff2
718,-0.08466624,-0.01916879,0.07561763,-0.1601667,0,0,-0.004034487,0.06653873,0.05539446,0,-0.1812864,0,0,0.03380961,0,0,-0.0541737,0,0,-0.2425407,0.1635876,-0.2918288,0.04931375,-0.07007485,0.137091,-0.2349126,-0.2302554,0.1223406,-0.1026094,0.2356622,-0.08877082,0.1364446,0.09520873,0,0,-0.02274681,0,-0.006684436,0.0299096,0,0,-0.001802578,0,0,-0.03453977,0.02125955,0,-0.01106762,0.03686635,0.01247168,0
719,0.08466624,0.01916879,-0.07561763,0.1601667,0,0,0.004034487,-0.06653873,-0.05539446,0,0.1812864,0,0,-0.03380961,0,0,0.0541737,0,0,0.2425407,-0.1635876,0.2918288,-0.04931375,0.07007485,-0.137091,0.2349126,0.2302554,-0.1223406,0.1026094,-0.2356622,0.08877082,-0.1364446,-0.09520873,0,0,0.02274681,0,0.006684436,-0.0299096,0,0,0.001802578,0,0,0.03453977,-0.02125955,0,0.01106762,-0.03686635,-0.01247168,0
720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1500152,-0.2239229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1500152,0.2239229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,0,-0.04951077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2375708,0,0,0.2025517,0,0.1567694,-0.08154929,-0.1487813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
723,0,0.04951077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2375708,0,0,-0.2025517,0,-0.1567694,0.08154929,0.1487813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,0,-0.06427429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,0,-0.01424508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,0.04663204,-0.01891409,-0.1064216,-0.1079149,0,0,0,-0.1330775,0,0,-0.1083546,0,0,-0.0005405283,0,0,-0.000644169,0,0,-0.22171,-0.09111401,0.01381446,0.08326281,0.1401497,0.03485107,0.2182571,-0.3170033,0,-0.1504407,-0.1009206,-0.1637651,-0.02465949,-0.112833,0,0,-0.03830006,-0.07864269,-0.03174747,0.1839764,0,0,-0.3340426,0,0,-0.08031411,0.09258213,0.1032475,-0.09397068,0,0.163542,0
727,-0.04663204,0.02052332,0.1064216,0.1079149,0,0,0,0.1330775,0,0,0.1083546,0,0,0.0005405283,0,0,0.000644169,0,0,0.22171,0.09111401,-0.01381446,-0.08326281,-0.1401497,-0.03485107,-0.2182571,0.3170033,0,0.1504407,0.1009206,0.1637651,0.02465949,0.112833,0,0,0.03830006,0.07864269,0.03174747,-0.1839764,0,0,0.3340426,0,0,0.08031411,-0.09258213,-0.1032475,0.09397068,0,-0.163542,0
